"id";"X1";"Y"
"1";8,74881808878854;212
"2";4,77770183933899;33
"3";9,53145998297259;299
"4";6,28706940682605;68
"5";1,90755262970924;8
"6";9,12239028140903;287
"7";3,71245997957885;13
"8";5,40882824454457;43
"9";1,36750522302464;4
"10";2,38541869213805;4
"11";7,87178313359618;148
"12";3,3662293269299;19
"13";0,137283466756344;3
"14";8,95788175985217;251
"15";9,36960620107129;347
"16";3,23998136213049;16
"17";1,1348050320521;6
"18";5,24680129252374;37
"19";3,51971653988585;20
"20";4,44123662309721;26
"21";0,816949182190001;3
"22";8,99236235069111;224
"23";7,26955703226849;106
"24";5,8752629882656;50
"25";6,94234148599207;99
"26";6,99709144420922;92
"27";5,87037573335692;44
"28";9,64430376654491;302
"29";8,51683874381706;174
"30";5,131278289482;26
"31";5,05784546257928;31
"32";7,34379251953214;114
"33";6,41225085128099;84
"34";9,22218003310263;279
"35";5,463527739048;42
"36";8,70444314088672;227
"37";7,19297830946743;111
"38";5,6488469010219;60
"39";2,70013980101794;13
"40";1,15575286792591;2
"41";3,86824767803773;15
"42";4,37089215964079;27
"43";6,51374720968306;61
"44";6,29724344238639;54
"45";8,71207951800898;223
"46";4,24762125825509;16
"47";5,98290467169136;50
"48";5,64768198411912;44
"49";1,25182620016858;6
"50";9,75622683065012;363
"51";9,62330149486661;313
"52";6,60183236235753;64
"53";3,65671743173152;15
"54";7,52918446203694;115
"55";6,20128562673926;65
"56";1,2567316996865;9
"57";3,15789883490652;14
"58";8,95871810847893;245
"59";8,78413725877181;214
"60";4,01825113222003;20
"61";4,15190735599026;19
"62";9,39322187565267;306
"63";9,1436732490547;271
"64";8,30247548408806;207
"65";8,34151671268046;164
"66";2,8705197875388;10
"67";1,10629515955225;5
"68";3,26586739625782;7
"69";4,48280418291688;25
"70";7,64585689874366;126
"71";3,2720184372738;10
"72";3,96417482523248;23
"73";0,297277376521379;4
"74";5,53766482975334;39
"75";9,6712199295871;351
"76";7,87379367277026;136
"77";7,83938078675419;142
"78";4,32295537088066;20
"79";4,19955203076825;30
"80";7,18668362591416;109
"81";0,27814889093861;3
"82";8,50044210441411;202
"83";2,49379057670012;13
"84";7,51680282875896;143
"85";4,13926901528612;28
"86";1,80812549777329;7
"87";3,87292616302148;18
"88";7,2227543219924;103
"89";7,01969060581177;76
"90";8,1800293456763;143
"91";1,21582660125569;8
"92";3,54626367799938;15
"93";5,89341668179259;50
"94";5,31362026231363;41
"95";1,9594155671075;9
"96";2,27188679156825;10
"97";5,89880150975659;59
"98";3,46087157260627;18
"99";1,16162384161726;8
"100";6,93739755544811;80
